GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay
1003,2010,37,271,5046,25,1190,25820
1015,2010,30,207,3464,24,734,12338
1017,2010,9,66,983,8,200,3634
1019,2010,9,43,755,4,114,1612
1025,2010,15,158,2467,7,252,4142
1039,2010,13,83,1428,9,284,5022
1045,2010,10,55,963,7,152,2544
1047,2010,12,107,1383,11,250,4935
1051,2010,14,105,1509,8,363,6083
1053,2010,14,154,2261,6,255,4310
1055,2010,25,205,3489,19,522,9510
1057,2010,6,39,654,7,100,1538
1063,2010,4,38,479,3,55,874
1071,2010,12,79,1229,13,249,3856
1073,2010,98,965,14728,105,4835,93295
1089,2010,54,427,7659,35,2126,44675
1091,2010,7,43,906,4,109,2240
1093,2010,10,42,767,4,85,1280
1095,2010,22,170,2593,20,580,8163
1097,2010,97,849,13932,58,2410,44913
1099,2010,10,59,1181,6,159,2200
1101,2010,36,369,5621,33,1441,28812
1103,2010,27,202,3090,20,634,12716
1107,2010,10,85,1259,4,142,1960
1109,2010,5,41,709,8,255,4358
1111,2010,6,43,644,4,113,1943
1113,2010,15,139,2121,8,369,6074
1117,2010,24,204,3864,26,1403,29517
1121,2010,24,181,2626,10,341,6425
1123,2010,12,104,1460,6,239,4707
1125,2010,33,300,4733,27,1342,26500
1131,2010,6,31,529,10,80,1273
2050,2010,15,356,4333,24,413,6419
2110,2010,3,38,961,7,376,8867
2122,2010,5,51,1160,20,644,17851
2270,2010,3,13,280,17,221,3095
4001,2010,12,75,1509,11,332,6217
4003,2010,28,192,3202,15,996,19343
4005,2010,14,111,2078,17,1332,24732
4009,2010,3,25,359,8,341,5892
4013,2010,219,2349,39616,494,37913,670315
4017,2010,20,149,2376,16,731,15449
4019,2010,80,694,12041,120,9243,172176
4021,2010,25,216,3589,31,2309,36046
4023,2010,15,63,1124,8,269,6110
4027,2010,21,185,2898,35,1329,23356
5003,2010,9,87,1115,6,109,1943
5005,2010,6,42,683,8,272,4220
5007,2010,28,212,3521,28,942,19088
5009,2010,9,95,1362,4,183,3229
5031,2010,21,147,2499,19,492,8794
5033,2010,12,107,1649,9,184,3168
5035,2010,12,98,1373,10,362,5713
5051,2010,18,147,2308,14,463,9832
5063,2010,10,70,1036,6,119,2717
5065,2010,7,49,584,4,106,1460
5069,2010,18,179,2914,15,477,8948
5091,2010,10,62,1035,9,278,4530
5093,2010,12,111,1708,15,351,6219
5119,2010,51,497,7886,60,2614,57930
5123,2010,7,57,731,7,109,1709
5139,2010,11,89,1190,9,223,4049
5143,2010,28,176,3130,28,1513,26506
6001,2010,53,798,12612,371,11780,337487
6007,2010,14,205,3287,50,1708,48401
6013,2010,41,575,9952,204,8745,249529
6015,2010,3,11,233,9,258,5110
6017,2010,7,105,2052,33,1707,48814
6019,2010,52,682,9773,216,5172,140848
6023,2010,18,122,2152,42,1480,36153
6029,2010,53,600,9292,193,5265,123214
6031,2010,8,96,1197,33,688,16363
6037,2010,583,7272,142094,2024,70433,1821874
6039,2010,7,95,1124,34,1015,28445
6041,2010,13,106,2323,60,3181,101018
6045,2010,11,79,1365,49,1312,35964
6047,2010,12,160,2397,55,1246,36166
6053,2010,24,231,3899,107,3026,87980
6057,2010,5,37,704,27,1137,32522
6059,2010,134,1717,31782,535,23489,615868
6061,2010,14,218,4362,58,3206,96959
6065,2010,89,1317,21801,342,14331,373082
6067,2010,55,1043,16981,249,10011,290775
6071,2010,104,1529,29863,335,12996,330746
6073,2010,126,1950,34160,622,22924,584033
6075,2010,33,274,6216,327,6930,196435
6077,2010,21,500,7660,160,4225,126732
6081,2010,22,452,10241,162,6595,190033
6083,2010,19,253,3903,123,3691,96523
6085,2010,62,720,12895,343,14135,392430
6087,2010,10,127,2294,73,2880,75478
6089,2010,13,161,2578,36,1430,39276
6095,2010,15,291,4417,73,2722,76007
6097,2010,25,272,5011,129,5224,148446
6099,2010,25,434,6373,135,3793,102444
6107,2010,29,352,4918,110,2207,55193
6111,2010,59,748,13946,163,6170,164031
6113,2010,7,114,1962,44,1556,40703
8005,2010,31,379,6538,75,4289,125878
8013,2010,12,123,2219,52,2870,80729
8035,2010,4,34,763,23,2089,57781
8037,2010,6,30,569,14,529,18365
8043,2010,7,43,665,6,170,5112
8069,2010,8,79,1254,30,2084,56966
8087,2010,5,27,477,5,151,3206
8099,2010,4,79,3028,4,84,1849
8123,2010,17,116,2281,32,1163,30658
9001,2010,41,223,4123,205,9384,261112
9003,2010,75,740,13969,211,9714,227932
9005,2010,9,64,1376,43,2231,52015
9007,2010,10,112,2412,38,1568,41622
9009,2010,67,581,11760,187,8180,190181
9011,2010,23,255,5339,46,2540,58935
9013,2010,5,31,716,24,1499,31720
10001,2010,21,217,3362,17,873,17765
10003,2010,42,388,6200,84,4088,102356
10005,2010,42,348,5512,49,1610,37448
11001,2010,24,140,2959,174,4432,123025
12001,2010,24,200,3680,46,3065,56618
12003,2010,4,32,513,7,164,2954
12011,2010,136,962,16979,368,16609,361122
12019,2010,21,161,2470,27,1506,29223
12021,2010,17,145,2686,59,3241,80238
12027,2010,3,25,367,5,164,3187
12031,2010,106,961,15816,200,7247,149231
12033,2010,44,333,5737,49,1612,33126
12055,2010,13,111,1617,19,729,14159
12057,2010,105,892,15263,283,10553,211055
12063,2010,16,104,1691,7,219,3973
12071,2010,50,406,7758,116,5872,131703
12075,2010,10,60,1050,10,311,5127
12079,2010,6,43,552,3,138,2761
12081,2010,35,259,4413,58,2924,60217
12086,2010,289,1303,24345,605,20952,432236
12095,2010,102,815,14661,236,8992,189551
12101,2010,49,394,6039,71,3873,75251
12103,2010,93,734,12152,189,9508,191130
12107,2010,15,103,1828,12,493,9101
12115,2010,26,225,3613,72,3936,84424
12119,2010,9,55,845,16,605,12149
12121,2010,6,52,794,8,206,4119
13009,2010,10,78,1287,10,286,5159
13017,2010,3,27,404,4,103,1563
13021,2010,30,310,4823,42,1319,28246
13031,2010,11,93,1454,7,267,4280
13033,2010,4,29,409,3,112,1717
13039,2010,7,41,701,6,271,4959
13045,2010,24,185,3023,24,922,17126
13051,2010,29,288,4644,49,2002,40709
13059,2010,13,109,1902,19,895,19198
13063,2010,34,276,4335,47,1355,28496
13071,2010,12,99,1335,12,188,3664
13085,2010,4,28,410,4,260,5391
13089,2010,70,616,9872,145,5980,123892
13091,2010,5,33,552,9,122,1951
13095,2010,21,223,3324,24,844,14453
13099,2010,6,34,591,5,106,1625
13103,2010,8,58,943,5,215,3662
13107,2010,7,47,715,6,92,1338
13111,2010,8,65,1017,10,272,4786
13113,2010,6,62,1042,14,1123,24847
13119,2010,9,59,881,7,174,2876
13127,2010,15,132,1940,21,693,14478
13131,2010,7,42,718,3,116,2096
13135,2010,58,438,7042,151,6135,141631
13137,2010,13,95,1642,7,358,6208
13139,2010,19,147,2487,36,1352,29578
13143,2010,6,27,398,6,91,1437
13147,2010,4,28,392,5,177,2910
13151,2010,23,192,2921,28,1439,30620
13153,2010,20,145,2401,23,1014,20397
13157,2010,10,60,932,8,487,10409
13163,2010,10,62,873,7,213,3426
13175,2010,15,116,1866,11,418,7215
13179,2010,10,91,1496,8,211,3569
13185,2010,21,186,3095,13,623,12246
13199,2010,8,58,886,7,184,3019
13215,2010,31,330,5954,39,1376,29886
13217,2010,14,118,1889,18,740,14918
13227,2010,6,34,571,6,297,5748
13233,2010,8,67,1060,7,227,5075
13245,2010,38,366,5167,35,1210,22144
13247,2010,10,83,1516,21,816,17452
13251,2010,4,39,470,3,119,1643
13253,2010,3,27,424,4,85,1252
13255,2010,10,132,1817,12,479,8677
13261,2010,10,76,1024,8,214,3569
13273,2010,3,26,377,4,86,1347
13275,2010,13,130,1811,7,296,5725
13277,2010,12,91,1344,7,185,3453
13279,2010,8,67,1009,6,180,2505
13293,2010,4,34,476,9,175,2552
13297,2010,10,73,1157,8,498,9687
13303,2010,3,25,345,3,104,1525
15001,2010,10,97,1273,38,1897,46883
15009,2010,8,42,908,40,1746,44144
16005,2010,8,54,1034,9,378,8069
16017,2010,5,39,663,13,281,6123
16027,2010,16,204,3266,21,714,16409
16055,2010,7,70,1019,18,882,19929
16069,2010,3,68,1223,10,373,9029
16083,2010,9,153,2026,17,545,11543
17019,2010,13,196,3290,32,1346,22546
17021,2010,5,42,742,9,226,3429
17029,2010,8,78,1106,5,272,3613
17031,2010,445,2913,52913,1463,39767,857910
17043,2010,43,354,6503,174,7778,165860
17049,2010,7,36,649,8,336,5165
17053,2010,5,71,1252,3,148,2031
17073,2010,8,135,2232,14,242,3709
17077,2010,6,58,846,11,455,9573
17089,2010,28,402,6475,79,3463,69011
17097,2010,43,297,5347,124,5204,109666
17099,2010,15,254,4300,25,1009,17283
17103,2010,5,35,485,6,139,2089
17107,2010,7,53,1009,4,142,2781
17109,2010,5,112,1467,5,339,5859
17111,2010,19,264,4364,50,1961,37395
17113,2010,14,179,3302,28,1055,20207
17115,2010,16,188,3359,14,490,10827
17119,2010,30,287,5281,50,2035,42417
17121,2010,7,70,1356,6,153,2408
17137,2010,5,76,1026,5,168,2637
17143,2010,21,225,4453,47,1214,28845
17145,2010,4,21,316,4,119,2497
17163,2010,30,252,4232,43,1553,34862
17173,2010,4,11,248,4,104,1301
17183,2010,17,296,5097,14,546,8633
17189,2010,5,53,1119,8,88,1329
17197,2010,35,281,4915,93,4260,83837
17201,2010,37,433,7629,54,2043,49656
18001,2010,6,34,566,6,169,2991
18017,2010,7,64,884,8,238,3929
18019,2010,19,151,2541,20,632,11985
18023,2010,5,40,622,7,128,1844
18029,2010,6,50,739,6,238,5000
18033,2010,8,30,599,8,224,4751
18039,2010,23,189,2843,37,1359,26008
18045,2010,6,49,812,4,225,2811
18047,2010,4,45,631,10,169,2141
18051,2010,7,55,733,6,215,2914
18053,2010,11,91,1459,7,305,4735
18057,2010,12,91,1749,36,2024,39206
18063,2010,12,100,1695,11,593,12615
18065,2010,6,56,697,9,202,3938
18067,2010,15,116,1717,11,444,9069
18077,2010,6,59,910,7,160,3241
18081,2010,14,91,1388,10,581,11073
18085,2010,14,103,1617,12,404,7673
18087,2010,6,59,1204,7,155,2910
18089,2010,58,500,7859,80,3706,74117
18091,2010,15,105,1550,18,657,11441
18095,2010,17,154,2521,24,875,15866
18097,2010,112,923,15627,146,5255,112461
18099,2010,10,64,865,11,276,4999
18105,2010,10,80,1338,21,1143,21041
18107,2010,6,68,922,7,255,5184
18109,2010,8,64,997,10,453,8584
18123,2010,3,23,341,4,98,1178
18127,2010,10,81,1191,14,827,15346
18137,2010,7,40,665,10,347,5595
18151,2010,8,86,837,6,98,1223
18163,2010,27,189,3408,34,1308,25458
18167,2010,18,168,3087,17,750,14921
18169,2010,5,41,559,5,186,3141
18175,2010,7,32,585,6,203,2348
19005,2010,3,40,719,5,215,3049
19013,2010,13,175,2818,22,1382,24025
19037,2010,3,41,789,3,105,1184
19045,2010,10,168,2987,8,498,8492
19049,2010,7,77,1280,8,860,16906
19061,2010,11,181,3103,14,1342,21337
19097,2010,4,47,760,4,124,1823
19125,2010,6,62,888,6,357,5903
19127,2010,6,75,1534,8,427,7637
19141,2010,4,47,872,7,222,3039
19153,2010,28,231,4166,64,5505,102413
19155,2010,9,89,1205,12,917,17214
19187,2010,4,54,664,5,384,7045
19189,2010,4,60,881,3,150,1835
19197,2010,4,37,537,5,177,2161
20005,2010,3,25,469,3,107,1169
20021,2010,6,39,607,4,85,1065
20057,2010,5,43,838,5,151,2227
20091,2010,24,225,3232,63,5401,113607
20121,2010,6,70,1165,3,207,3567
20131,2010,5,51,868,7,221,2275
20155,2010,8,80,1980,13,472,8128
20159,2010,4,50,885,5,84,1178
20177,2010,15,126,2155,28,1452,24564
20209,2010,19,143,2616,22,736,15991
21003,2010,5,50,810,4,82,1272
21009,2010,16,128,1677,10,207,2719
21013,2010,10,69,1282,10,334,5910
21017,2010,3,22,319,4,116,1579
21019,2010,9,80,1354,9,386,7484
21021,2010,11,103,1674,7,198,4094
21037,2010,11,88,1592,17,955,20631
21045,2010,3,37,697,8,84,1185
21067,2010,26,188,3248,51,2317,52404
21085,2010,8,48,778,6,60,833
21095,2010,11,60,1089,9,309,5405
21111,2010,80,719,13351,137,5903,132203
21117,2010,14,125,1899,25,1221,24490
21123,2010,5,43,840,4,70,1014
21125,2010,16,104,2022,13,339,7770
21127,2010,5,30,435,3,125,1746
21133,2010,7,41,623,7,222,3410
21155,2010,4,24,397,3,146,2584
21161,2010,5,41,732,6,174,4128
21173,2010,6,50,857,5,161,3834
21199,2010,18,168,2983,20,370,7799
21205,2010,6,43,837,7,251,5315
21207,2010,6,50,591,4,151,2909
22001,2010,16,102,1619,23,489,7945
22003,2010,12,87,1320,4,132,1616
22005,2010,15,134,2126,20,722,12892
22009,2010,21,120,1968,12,205,3309
22017,2010,39,316,5991,30,1620,32323
22019,2010,46,311,5356,31,1270,22417
22021,2010,3,22,433,7,368,5667
22033,2010,60,485,8658,128,3885,65118
22039,2010,9,52,878,16,184,2388
22041,2010,5,35,520,5,171,2803
22045,2010,17,128,2071,20,557,11564
22047,2010,7,49,948,12,209,3547
22051,2010,52,537,9876,99,3826,76856
22053,2010,7,42,753,9,154,2796
22055,2010,39,274,4857,57,2066,35484
22063,2010,18,135,2459,17,629,11095
22067,2010,6,44,803,5,161,3605
22069,2010,6,45,758,8,220,4079
22071,2010,31,301,5444,139,2082,41819
22073,2010,30,266,4095,23,951,17715
22085,2010,6,45,812,7,244,5155
22087,2010,12,123,2266,10,287,5148
22089,2010,8,68,1003,8,304,5225
22093,2010,5,41,624,6,217,3934
22095,2010,9,87,1409,11,257,4516
22097,2010,26,165,2794,29,693,12485
22099,2010,9,69,1029,16,374,7757
22101,2010,12,78,1333,15,450,7988
22103,2010,40,316,5402,35,1896,37985
22105,2010,31,293,4388,24,1061,16772
22109,2010,23,171,2799,17,923,17527
22111,2010,7,39,685,7,147,2518
22113,2010,12,80,1304,16,388,6789
22117,2010,14,142,2465,12,330,6033
22119,2010,11,76,1256,7,278,3970
22121,2010,6,46,710,5,223,3706
23001,2010,14,218,3814,21,931,18675
23007,2010,8,34,398,12,393,7394
23009,2010,16,176,3208,27,690,14962
23013,2010,5,70,1343,14,518,10660
23015,2010,5,41,891,13,467,9109
23017,2010,15,120,1762,13,315,7453
23019,2010,27,316,5464,31,1604,32863
23023,2010,3,31,746,8,363,6836
23025,2010,7,54,963,12,374,6663
23027,2010,7,82,1703,8,301,5942
23031,2010,17,226,3563,43,1764,39453
24001,2010,15,155,2520,17,661,9857
24003,2010,33,371,5651,86,4513,120832
24005,2010,72,762,12578,130,7616,195585
24009,2010,3,12,224,14,918,22960
24011,2010,5,58,739,8,159,2712
24013,2010,8,84,1382,23,1752,38047
24015,2010,10,94,1513,16,666,12632
24017,2010,11,105,2069,23,1078,27739
24021,2010,16,117,2021,35,2013,46713
24023,2010,5,40,596,7,130,2377
24025,2010,15,155,2716,34,2353,49346
24027,2010,8,49,1117,41,2663,67462
24031,2010,29,230,4174,207,9222,264091
24033,2010,63,736,11512,162,6305,170195
24035,2010,5,20,481,9,406,8351
24510,2010,67,558,9729,214,3433,91480
25001,2010,28,348,8910,62,3430,80117
25011,2010,5,42,794,25,675,14310
25015,2010,10,77,1391,32,2272,49538
25025,2010,52,338,6110,215,7286,146291
26005,2010,17,106,1595,20,746,11965
26007,2010,4,45,619,8,241,4691
26015,2010,7,57,641,11,306,5336
26017,2010,17,187,2732,19,561,11879
26021,2010,26,190,3254,39,1183,23715
26023,2010,10,65,1040,3,58,1276
26025,2010,22,148,2440,24,469,9765
26027,2010,9,68,1133,12,240,4094
26029,2010,6,45,750,9,163,4046
26031,2010,5,23,475,5,174,3600
26033,2010,5,52,706,13,317,5747
26035,2010,10,63,980,8,198,3442
26037,2010,4,29,402,7,176,2890
26045,2010,12,81,1433,14,373,7163
26047,2010,5,24,483,17,319,6873
26049,2010,61,416,6782,101,2731,53754
26051,2010,8,76,1148,3,81,1398
26055,2010,10,47,793,23,839,15668
26057,2010,7,49,601,11,184,3251
26063,2010,8,46,659,9,219,2961
26065,2010,25,167,3494,45,1343,22745
26069,2010,8,53,711,8,225,3710
26075,2010,20,158,2588,21,680,14343
26077,2010,23,213,3506,43,1276,23500
26081,2010,65,512,8599,118,2908,70915
26091,2010,10,125,1799,20,605,10696
26093,2010,8,65,962,21,882,23286
26099,2010,82,599,9669,143,4939,108611
26101,2010,6,31,462,10,205,4308
26103,2010,8,86,1295,13,476,7677
26105,2010,6,40,498,6,94,1480
26111,2010,8,56,878,13,339,6593
26115,2010,6,73,1044,22,724,13486
26117,2010,18,109,1570,15,415,6107
26121,2010,20,183,2940,24,605,10046
26123,2010,9,69,1160,8,246,4282
26125,2010,110,753,12387,255,8418,190553
26127,2010,7,59,924,8,193,2826
26129,2010,6,31,567,6,132,2228
26133,2010,8,40,721,7,138,2370
26137,2010,5,48,742,6,114,2261
26139,2010,19,136,1889,33,956,17941
26143,2010,5,28,394,6,124,2070
26145,2010,35,221,3436,42,1100,23217
26147,2010,23,158,2236,27,605,12654
26149,2010,13,94,1588,16,266,4718
26151,2010,12,65,980,8,285,4810
26155,2010,15,79,1233,12,399,7643
26159,2010,14,87,1376,17,444,7754
26161,2010,19,170,2628,55,2479,57897
26163,2010,240,1491,23750,451,8496,179826
26165,2010,7,40,644,8,139,2900
27003,2010,16,264,5551,37,1669,41977
27007,2010,6,106,2138,7,359,5983
27041,2010,7,187,3375,6,285,4521
27045,2010,5,27,528,6,173,2088
27049,2010,6,35,475,10,284,4432
27053,2010,70,664,12016,211,8646,215171
27057,2010,4,58,1161,4,211,3492
27085,2010,10,56,944,5,407,6916
27091,2010,4,58,877,5,235,3550
27111,2010,12,260,4747,11,494,7207
27115,2010,6,54,883,5,175,2589
27119,2010,6,45,687,7,313,5039
27123,2010,31,199,2930,98,3795,95136
27135,2010,6,78,1003,6,193,2653
27137,2010,18,270,5257,36,1663,33829
27153,2010,4,38,406,8,179,2968
27163,2010,11,226,4827,21,1506,39876
27171,2010,5,41,551,11,871,16832
28011,2010,12,65,1055,10,216,3752
28023,2010,7,64,1082,4,104,1739
28025,2010,4,67,915,6,121,1991
28031,2010,8,75,1277,5,111,1603
28033,2010,23,246,3530,14,826,20067
28035,2010,24,299,4656,13,343,5424
28045,2010,7,50,829,4,135,2326
28047,2010,41,470,7355,17,738,14599
28049,2010,50,526,7546,34,1427,26118
28051,2010,7,62,883,4,68,1138
28059,2010,37,283,5036,21,740,13695
28061,2010,7,55,676,3,70,1020
28067,2010,22,225,3422,14,395,7096
28073,2010,12,95,1424,11,315,4985
28075,2010,19,231,3913,14,440,7904
28083,2010,11,113,1811,8,239,3340
28085,2010,8,88,1285,3,287,5507
28087,2010,17,167,2576,11,354,6276
28091,2010,9,99,1401,5,136,2355
28095,2010,13,136,1935,9,174,2312
28101,2010,7,66,1129,6,134,2210
28109,2010,15,176,3017,9,319,5981
28113,2010,12,101,1507,9,233,4665
28117,2010,9,61,931,7,166,2452
28123,2010,11,115,1674,7,201,2824
28127,2010,6,69,1084,4,94,2052
28133,2010,8,53,852,8,141,2310
28141,2010,10,53,833,9,149,2179
28147,2010,3,26,367,3,83,1312
28149,2010,10,105,1486,5,278,5191
28153,2010,9,71,1221,4,203,2971
28163,2010,8,110,1568,5,137,2071
29019,2010,13,92,1481,27,2055,31384
29021,2010,11,80,1316,12,749,13007
29031,2010,8,79,1217,8,390,7223
29037,2010,13,172,3039,12,705,13541
29047,2010,16,137,2064,32,1966,40200
29051,2010,9,62,935,12,919,14298
29077,2010,32,255,4068,39,1653,29618
29091,2010,11,97,1299,10,237,3728
29095,2010,73,856,17914,96,5365,107522
29097,2010,22,172,2688,12,333,6160
29099,2010,16,121,2002,23,1049,23481
29105,2010,4,26,427,5,130,2333
29109,2010,6,41,629,8,223,3522
29127,2010,9,81,1345,6,230,3894
29143,2010,6,51,726,6,97,1305
29157,2010,3,42,853,3,59,764
29159,2010,7,68,989,9,225,4220
29165,2010,6,21,402,11,827,16005
29169,2010,8,55,820,5,196,2918
29183,2010,20,212,3808,42,2474,59577
29186,2010,3,41,573,3,121,1911
29189,2010,79,722,11829,182,9738,235025
29213,2010,13,79,1961,14,506,8947
30029,2010,6,78,1248,13,820,19608
30031,2010,4,41,665,18,1000,21527
30063,2010,6,48,735,20,1067,21961
31001,2010,5,50,644,7,304,4827
31013,2010,4,47,687,4,122,1818
31017,2010,4,51,800,3,69,693
31025,2010,3,60,1057,5,94,1343
31039,2010,4,61,932,4,80,1382
31047,2010,7,67,931,5,128,1726
31053,2010,5,52,638,7,370,6199
