GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2010,FD_num_2010,FD_pct_2010,D_Cap,G_Cap
1003,2010,37,271,5046,25,1190,25820,182265,35211,19.32,4926,7290
1015,2010,30,207,3464,24,734,12338,118572,30901,26.06,3952,4940
1017,2010,9,66,983,8,200,3634,34215,6748,19.72,3801,4276
1019,2010,9,43,755,4,114,1612,25989,79,0.31,2887,6497
1025,2010,15,158,2467,7,252,4142,25833,5061,19.59,1722,3690
1039,2010,13,83,1428,9,284,5022,37765,3334,8.83,2905,4196
1045,2010,10,55,963,7,152,2544,50251,13847,27.56,5025,7178
1047,2010,12,107,1383,11,250,4935,43820,7786,17.77,3651,3983
1051,2010,14,105,1509,8,363,6083,79303,15012,18.93,5664,9912
1053,2010,14,154,2261,6,255,4310,38319,5189,13.54,2737,6386
1055,2010,25,205,3489,19,522,9510,104430,24779,23.73,4177,5496
1057,2010,6,39,654,7,100,1538,17241,438,2.54,2873,2463
1063,2010,4,38,479,3,55,874,9045,3287,36.34,2261,3015
1071,2010,12,79,1229,13,249,3856,53227,4855,9.12,4435,4094
1073,2010,98,965,14728,105,4835,93295,658466,209261,31.78,6719,6271
1089,2010,54,427,7659,35,2126,44675,334811,110052,32.87,6200,9566
1091,2010,7,43,906,4,109,2240,21027,5587,26.57,3003,5256
1093,2010,10,42,767,4,85,1280,30776,538,1.75,3077,7694
1095,2010,22,170,2593,20,580,8163,93019,12814,13.78,4228,4650
1097,2010,97,849,13932,58,2410,44913,412992,112774,27.31,4257,7120
1099,2010,10,59,1181,6,159,2200,23068,7149,30.99,2306,3844
1101,2010,36,369,5621,33,1441,28812,229363,64260,28.02,6371,6950
1103,2010,27,202,3090,20,634,12716,119490,14010,11.72,4425,5974
1107,2010,10,85,1259,4,142,1960,19746,851,4.31,1974,4936
1109,2010,5,41,709,8,255,4358,32899,3733,11.35,6579,4112
1111,2010,6,43,644,4,113,1943,22913,1061,4.63,3818,5728
1113,2010,15,139,2121,8,369,6074,52947,8512,16.08,3529,6618
1117,2010,24,204,3864,26,1403,29517,195085,52014,26.66,8128,7503
1121,2010,24,181,2626,10,341,6425,82291,12352,15.01,3428,8229
1123,2010,12,104,1460,6,239,4707,41616,4598,11.05,3468,6936
1125,2010,33,300,4733,27,1342,26500,194656,39478,20.28,5898,7209
1131,2010,6,31,529,10,80,1273,11670,5173,44.33,1945,1167
2050,2010,15,356,4333,24,413,6419,17013,13273,78.01,1134,708
2110,2010,3,38,961,7,376,8867,31275,10138,32.42,10425,4467
2122,2010,5,51,1160,20,644,17851,55400,11290,20.38,11080,2770
4001,2010,12,75,1509,11,332,6217,71518,46747,65.36,5959,6501
4003,2010,28,192,3202,15,996,19343,131346,51625,39.3,4690,8756
4005,2010,14,111,2078,17,1332,24732,134421,40657,30.25,9601,7907
4009,2010,3,25,359,8,341,5892,37220,11663,31.33,12406,4652
4013,2010,219,2349,39616,494,37913,670315,3817117,492281,12.9,17429,7726
4017,2010,20,149,2376,16,731,15449,107449,35575,33.11,5372,6715
4019,2010,80,694,12041,120,9243,172176,980263,232208,23.69,12253,8168
4021,2010,25,216,3589,31,2309,36046,375770,65190,17.35,15030,12121
4023,2010,15,63,1124,8,269,6110,47420,13052,27.52,3161,5927
4027,2010,21,185,2898,35,1329,23356,195751,43753,22.35,9321,5592
5003,2010,9,87,1115,6,109,1943,21853,4342,19.87,2428,3642
5005,2010,6,42,683,8,272,4220,41513,4980,12.0,6918,5189
5007,2010,28,212,3521,28,942,19088,221339,43591,19.69,7904,7904
5009,2010,9,95,1362,4,183,3229,36903,11075,30.01,4100,9225
5031,2010,21,147,2499,19,492,8794,96443,24130,25.02,4592,5075
5033,2010,12,107,1649,9,184,3168,61948,13071,21.1,5162,6883
5035,2010,12,98,1373,10,362,5713,50902,6121,12.03,4241,5090
5051,2010,18,147,2308,14,463,9832,96024,30262,31.52,5334,6858
5063,2010,10,70,1036,6,119,2717,36647,6847,18.68,3664,6107
5065,2010,7,49,584,4,106,1460,13696,810,5.92,1956,3424
5069,2010,18,179,2914,15,477,8948,77435,13186,17.03,4301,5162
5091,2010,10,62,1035,9,278,4530,43462,10974,25.25,4346,4829
5093,2010,12,111,1708,15,351,6219,46480,6002,12.91,3873,3098
5119,2010,51,497,7886,60,2614,57930,382748,116978,30.56,7504,6379
5123,2010,7,57,731,7,109,1709,28258,8547,30.24,4036,4036
5139,2010,11,89,1190,9,223,4049,41639,9035,21.7,3785,4626
5143,2010,28,176,3130,28,1513,26506,203065,40441,19.92,7252,7252
6001,2010,53,798,12612,371,11780,337487,1510271,160425,10.62,28495,4070
6007,2010,14,205,3287,50,1708,48401,220000,48749,22.16,15714,4400
6013,2010,41,575,9952,204,8745,249529,1049025,206022,19.64,25585,5142
6015,2010,3,11,233,9,258,5110,28610,7755,27.11,9536,3178
6017,2010,7,105,2052,33,1707,48814,181058,50566,27.93,25865,5486
6019,2010,52,682,9773,216,5172,140848,930450,113632,12.21,17893,4307
6023,2010,18,122,2152,42,1480,36153,134623,21978,16.33,7479,3205
6029,2010,53,600,9292,193,5265,123214,839631,128065,15.25,15842,4350
6031,2010,8,96,1197,33,688,16363,152982,32733,21.4,19122,4635
6037,2010,583,7272,142094,2024,70433,1821874,9818605,613459,6.25,16841,4851
6039,2010,7,95,1124,34,1015,28445,150865,29906,19.82,21552,4437
6041,2010,13,106,2323,60,3181,101018,252409,41396,16.4,19416,4206
6045,2010,11,79,1365,49,1312,35964,87841,15812,18.0,7985,1792
6047,2010,12,160,2397,55,1246,36166,255793,36594,14.31,21316,4650
6053,2010,24,231,3899,107,3026,87980,415057,49442,11.91,17294,3879
6057,2010,5,37,704,27,1137,32522,98764,23640,23.94,19752,3657
6059,2010,134,1717,31782,535,23489,615868,3010232,220587,7.33,22464,5626
6061,2010,14,218,4362,58,3206,96959,348432,53006,15.21,24888,6007
6065,2010,89,1317,21801,342,14331,373082,2189641,433981,19.82,24602,6402
6067,2010,55,1043,16981,249,10011,290775,1418788,190246,13.41,25796,5697
6071,2010,104,1529,29863,335,12996,330746,2035210,454074,22.31,19569,6075
6073,2010,126,1950,34160,622,22924,584033,3095313,456714,14.76,24565,4976
6075,2010,33,274,6216,327,6930,196435,805235,26692,3.31,24401,2462
6077,2010,21,500,7660,160,4225,126732,685306,77979,11.38,32633,4283
6081,2010,22,452,10241,162,6595,190033,718451,82647,11.5,32656,4434
6083,2010,19,253,3903,123,3691,96523,423895,58464,13.79,22310,3446
6085,2010,62,720,12895,343,14135,392430,1781642,170081,9.55,28736,5194
6087,2010,10,127,2294,73,2880,75478,262382,42380,16.15,26238,3594
6089,2010,13,161,2578,36,1430,39276,177223,40860,23.06,13632,4922
6095,2010,15,291,4417,73,2722,76007,413344,92520,22.38,27556,5662
6097,2010,25,272,5011,129,5224,148446,483878,79444,16.42,19355,3750
6099,2010,25,434,6373,135,3793,102444,514453,68988,13.41,20578,3810
6107,2010,29,352,4918,110,2207,55193,442179,63227,14.3,15247,4019
6111,2010,59,748,13946,163,6170,164031,823318,127283,15.46,13954,5051
6113,2010,7,114,1962,44,1556,40703,200849,18875,9.4,28692,4564
8005,2010,31,379,6538,75,4289,125878,572003,97261,17.0,18451,7626
8013,2010,12,123,2219,52,2870,80729,294567,45863,15.57,24547,5664
8035,2010,4,34,763,23,2089,57781,285465,52932,18.54,71366,12411
8037,2010,6,30,569,14,529,18365,52197,7969,15.27,8699,3728
8043,2010,7,43,665,6,170,5112,46824,14902,31.83,6689,7804
8069,2010,8,79,1254,30,2084,56966,299630,67259,22.45,37453,9987
8087,2010,5,27,477,5,151,3206,28159,3336,11.85,5631,5631
8099,2010,4,79,3028,4,84,1849,12551,3793,30.22,3137,3137
8123,2010,17,116,2281,32,1163,30658,252825,38751,15.33,14872,7900
9001,2010,41,223,4123,205,9384,261112,916829,262579,28.64,22361,4472
9003,2010,75,740,13969,211,9714,227932,894014,281196,31.45,11920,4237
9005,2010,9,64,1376,43,2231,52015,189927,30056,15.83,21103,4416
9007,2010,10,112,2412,38,1568,41622,165676,55378,33.43,16567,4359
9009,2010,67,581,11760,187,8180,190181,862477,252394,29.26,12872,4612
9011,2010,23,255,5339,46,2540,58935,274055,78554,28.66,11915,5957
9013,2010,5,31,716,24,1499,31720,152691,50030,32.77,30538,6362
10001,2010,21,217,3362,17,873,17765,162310,31140,19.19,7729,9547
10003,2010,42,388,6200,84,4088,102356,538479,164990,30.64,12820,6410
10005,2010,42,348,5512,49,1610,37448,197145,34073,17.28,4693,4023
11001,2010,24,140,2959,174,4432,123025,601723,16971,2.82,25071,3458
12001,2010,24,200,3680,46,3065,56618,247336,49066,19.84,10305,5376
12003,2010,4,32,513,7,164,2954,27115,9154,33.76,6778,3873
12011,2010,136,962,16979,368,16609,361122,1748066,196467,11.24,12853,4750
12019,2010,21,161,2470,27,1506,29223,190865,44093,23.1,9088,7069
12021,2010,17,145,2686,59,3241,80238,321520,90021,28.0,18912,5449
12027,2010,3,25,367,5,164,3187,34862,3913,11.22,11620,6972
12031,2010,106,961,15816,200,7247,149231,864263,215253,24.91,8153,4321
12033,2010,44,333,5737,49,1612,33126,297619,118775,39.91,6764,6073
12055,2010,13,111,1617,19,729,14159,98786,36950,37.4,7598,5199
12057,2010,105,892,15263,283,10553,211055,1229226,309584,25.19,11706,4343
12063,2010,16,104,1691,7,219,3973,49746,3390,6.81,3109,7106
12071,2010,50,406,7758,116,5872,131703,618754,173208,27.99,12375,5334
12075,2010,10,60,1050,10,311,5127,40801,3954,9.69,4080,4080
12079,2010,6,43,552,3,138,2761,19224,4279,22.26,3204,6408
12081,2010,35,259,4413,58,2924,60217,322833,74392,23.04,9223,5566
12086,2010,289,1303,24345,605,20952,432236,2496435,162697,6.52,8638,4126
12095,2010,102,815,14661,236,8992,189551,1145956,224405,19.58,11234,4855
12101,2010,49,394,6039,71,3873,75251,464697,103438,22.26,9483,6545
12103,2010,93,734,12152,189,9508,191130,916542,160837,17.55,9855,4849
12107,2010,15,103,1828,12,493,9101,74364,18371,24.7,4957,6197
12115,2010,26,225,3613,72,3936,84424,379448,105119,27.7,14594,5270
12119,2010,9,55,845,16,605,12149,93420,9896,10.59,10380,5838
12121,2010,6,52,794,8,206,4119,41551,7180,17.28,6925,5193
13009,2010,10,78,1287,10,286,5159,45720,8230,18.0,4572,4572
13017,2010,3,27,404,4,103,1563,17634,3939,22.34,5878,4408
13021,2010,30,310,4823,42,1319,28246,155547,35466,22.8,5184,3703
13031,2010,11,93,1454,7,267,4280,70217,10800,15.38,6383,10031
13033,2010,4,29,409,3,112,1717,23316,2235,9.59,5829,7772
13039,2010,7,41,701,6,271,4959,50513,18301,36.23,7216,8418
13045,2010,24,185,3023,24,922,17126,110527,27518,24.9,4605,4605
13051,2010,29,288,4644,49,2002,40709,265128,52409,19.77,9142,5410
13059,2010,13,109,1902,19,895,19198,116714,42684,36.57,8978,6142
13063,2010,34,276,4335,47,1355,28496,259424,102802,39.63,7630,5519
13071,2010,12,99,1335,12,188,3664,45498,8478,18.63,3791,3791
13085,2010,4,28,410,4,260,5391,22330,0,0.0,5582,5582
13089,2010,70,616,9872,145,5980,123892,691893,181655,26.25,9884,4771
13091,2010,5,33,552,9,122,1951,21796,440,2.02,4359,2421
13095,2010,21,223,3324,24,844,14453,94565,39406,41.67,4503,3940
13099,2010,6,34,591,5,106,1625,11008,1070,9.72,1834,2201
13103,2010,8,58,943,5,215,3662,52250,6349,12.15,6531,10450
13107,2010,7,47,715,6,92,1338,22598,6645,29.41,3228,3766
13111,2010,8,65,1017,10,272,4786,23682,28,0.12,2960,2368
13113,2010,6,62,1042,14,1123,24847,106567,42925,40.28,17761,7611
13119,2010,9,59,881,7,174,2876,22084,715,3.24,2453,3154
13127,2010,15,132,1940,21,693,14478,79626,21864,27.46,5308,3791
13131,2010,7,42,718,3,116,2096,25011,2634,10.53,3573,8337
13135,2010,58,438,7042,151,6135,141631,805321,260733,32.38,13884,5333
13137,2010,13,95,1642,7,358,6208,43041,9084,21.11,3310,6148
13139,2010,19,147,2487,36,1352,29578,179684,51370,28.59,9457,4991
13143,2010,6,27,398,6,91,1437,28780,1099,3.82,4796,4796
13147,2010,4,28,392,5,177,2910,25213,832,3.3,6303,5042
13151,2010,23,192,2921,28,1439,30620,203922,70656,34.65,8866,7282
13153,2010,20,145,2401,23,1014,20397,139900,50674,36.22,6995,6082
13157,2010,10,60,932,8,487,10409,60485,584,0.97,6048,7560
13163,2010,10,62,873,7,213,3426,16930,336,1.99,1693,2418
13175,2010,15,116,1866,11,418,7215,48434,4791,9.89,3228,4403
13179,2010,10,91,1496,8,211,3569,63453,24802,39.09,6345,7931
13185,2010,21,186,3095,13,623,12246,109233,22947,21.01,5201,8402
13199,2010,8,58,886,7,184,3019,21992,321,1.46,2749,3141
13215,2010,31,330,5954,39,1376,29886,189885,62464,32.9,6125,4868
13217,2010,14,118,1889,18,740,14918,99958,25557,25.57,7139,5553
13227,2010,6,34,571,6,297,5748,29431,1813,6.16,4905,4905
13233,2010,8,67,1060,7,227,5075,41475,4735,11.42,5184,5925
13245,2010,38,366,5167,35,1210,22144,200549,67308,33.56,5277,5729
13247,2010,10,83,1516,21,816,17452,85215,39854,46.77,8521,4057
13251,2010,4,39,470,3,119,1643,14593,3131,21.45,3648,4864
13253,2010,3,27,424,4,85,1252,8729,641,7.34,2909,2182
13255,2010,10,132,1817,12,479,8677,64073,10916,17.04,6407,5339
13261,2010,10,76,1024,8,214,3569,32819,7427,22.63,3281,4102
13273,2010,3,26,377,4,86,1347,9315,116,1.25,3105,2328
13275,2010,13,130,1811,7,296,5725,44720,12043,26.93,3440,6388
13277,2010,12,91,1344,7,185,3453,40118,3927,9.79,3343,5731
13279,2010,8,67,1009,6,180,2505,27223,4540,16.68,3402,4537
13293,2010,4,34,476,9,175,2552,27153,4930,18.15,6788,3017
13297,2010,10,73,1157,8,498,9687,83768,15470,18.47,8376,10471
13303,2010,3,25,345,3,104,1525,21187,5635,26.6,7062,7062
15001,2010,10,97,1273,38,1897,46883,185079,68849,37.2,18507,4870
15009,2010,8,42,908,40,1746,44144,154834,55755,36.01,19354,3870
16005,2010,8,54,1034,9,378,8069,82839,25194,30.41,10354,9204
16017,2010,5,39,663,13,281,6123,40877,7651,18.72,8175,3144
16027,2010,16,204,3266,21,714,16409,188923,39744,21.04,11807,8996
16055,2010,7,70,1019,18,882,19929,138494,34524,24.93,19784,7694
16069,2010,3,68,1223,10,373,9029,39265,6993,17.81,13088,3926
16083,2010,9,153,2026,17,545,11543,77230,7226,9.36,8581,4542
17019,2010,13,196,3290,32,1346,22546,201081,29430,14.64,15467,6283
17021,2010,5,42,742,9,226,3429,34800,3502,10.06,6960,3866
17029,2010,8,78,1106,5,272,3613,53873,7996,14.84,6734,10774
17031,2010,445,2913,52913,1463,39767,857910,5194675,415200,7.99,11673,3550
17043,2010,43,354,6503,174,7778,165860,916924,250485,27.32,21323,5269
17049,2010,7,36,649,8,336,5165,34242,5860,17.11,4891,4280
17053,2010,5,71,1252,3,148,2031,14081,2583,18.35,2816,4693
17073,2010,8,135,2232,14,242,3709,50486,9452,18.72,6310,3606
17077,2010,6,58,846,11,455,9573,60218,14240,23.65,10036,5474
17089,2010,28,402,6475,79,3463,69011,515269,101403,19.68,18402,6522
17097,2010,43,297,5347,124,5204,109666,703462,254430,36.17,16359,5673
17099,2010,15,254,4300,25,1009,17283,113924,26677,23.42,7594,4556
17103,2010,5,35,485,6,139,2089,36031,3793,10.53,7206,6005
17107,2010,7,53,1009,4,142,2781,30305,9652,31.85,4329,7576
17109,2010,5,112,1467,5,339,5859,32612,9394,28.81,6522,6522
17111,2010,19,264,4364,50,1961,37395,308760,133011,43.08,16250,6175
17113,2010,14,179,3302,28,1055,20207,169572,46403,27.36,12112,6056
17115,2010,16,188,3359,14,490,10827,110768,33167,29.94,6923,7912
17119,2010,30,287,5281,50,2035,42417,269282,85509,31.75,8976,5385
17121,2010,7,70,1356,6,153,2408,39437,10003,25.36,5633,6572
17137,2010,5,76,1026,5,168,2637,35547,8930,25.12,7109,7109
17143,2010,21,225,4453,47,1214,28845,186494,55265,29.63,8880,3967
17145,2010,4,21,316,4,119,2497,22350,4609,20.62,5587,5587
17163,2010,30,252,4232,43,1553,34862,270056,112883,41.8,9001,6280
17173,2010,4,11,248,4,104,1301,22363,3527,15.77,5590,5590
17183,2010,17,296,5097,14,546,8633,81625,14337,17.56,4801,5830
17189,2010,5,53,1119,8,88,1329,14716,1629,11.07,2943,1839
17197,2010,35,281,4915,93,4260,83837,677560,242455,35.78,19358,7285
17201,2010,37,433,7629,54,2043,49656,295266,72887,24.69,7980,5467
18001,2010,6,34,566,6,169,2991,34387,2455,7.14,5731,5731
18017,2010,7,64,884,8,238,3929,38966,1592,4.09,5566,4870
18019,2010,19,151,2541,20,632,11985,110232,23781,21.57,5801,5511
18023,2010,5,40,622,7,128,1844,33224,1331,4.01,6644,4746
18029,2010,6,50,739,6,238,5000,50047,13205,26.39,8341,8341
18033,2010,8,30,599,8,224,4751,42223,11734,27.79,5277,5277
18039,2010,23,189,2843,37,1359,26008,197559,38971,19.73,8589,5339
18045,2010,6,49,812,4,225,2811,17240,643,3.73,2873,4310
18047,2010,4,45,631,10,169,2141,23087,2095,9.07,5771,2308
18051,2010,7,55,733,6,215,2914,33503,3461,10.33,4786,5583
18053,2010,11,91,1459,7,305,4735,70061,14392,20.54,6369,10008
18057,2010,12,91,1749,36,2024,39206,274569,95377,34.74,22880,7626
18063,2010,12,100,1695,11,593,12615,145448,53660,36.89,12120,13222
18065,2010,6,56,697,9,202,3938,49462,2249,4.55,8243,5495
18067,2010,15,116,1717,11,444,9069,82752,25625,30.97,5516,7522
18077,2010,6,59,910,7,160,3241,32428,4773,14.72,5404,4632
18081,2010,14,91,1388,10,581,11073,139654,42603,30.51,9975,13965
18085,2010,14,103,1617,12,404,7673,77358,17486,22.6,5525,6446
18087,2010,6,59,1204,7,155,2910,37128,522,1.41,6188,5304
18089,2010,58,500,7859,80,3706,74117,496005,138588,27.94,8551,6200
18091,2010,15,105,1550,18,657,11441,111467,20849,18.7,7431,6192
18095,2010,17,154,2521,24,875,15866,131636,32821,24.93,7743,5484
18097,2010,112,923,15627,146,5255,112461,903393,226700,25.09,8066,6187
18099,2010,10,64,865,11,276,4999,47051,7428,15.79,4705,4277
18105,2010,10,80,1338,21,1143,21041,137974,27358,19.83,13797,6570
18107,2010,6,68,922,7,255,5184,38124,4577,12.01,6354,5446
18109,2010,8,64,997,10,453,8584,68894,12320,17.88,8611,6889
18123,2010,3,23,341,4,98,1178,19338,5305,27.43,6446,4834
18127,2010,10,81,1191,14,827,15346,164343,63748,38.79,16434,11738
18137,2010,7,40,665,10,347,5595,28818,732,2.54,4116,2881
18151,2010,8,86,837,6,98,1223,34185,7252,21.21,4273,5697
18163,2010,27,189,3408,34,1308,25458,179703,35571,19.79,6655,5285
18167,2010,18,168,3087,17,750,14921,107848,29116,27.0,5991,6344
18169,2010,5,41,559,5,186,3141,32888,2760,8.39,6577,6577
18175,2010,7,32,585,6,203,2348,28262,2753,9.74,4037,4710
19005,2010,3,40,719,5,215,3049,14330,2728,19.04,4776,2866
19013,2010,13,175,2818,22,1382,24025,131090,31222,23.82,10083,5958
19037,2010,3,41,789,3,105,1184,12439,1835,14.75,4146,4146
19045,2010,10,168,2987,8,498,8492,49116,10207,20.78,4911,6139
19049,2010,7,77,1280,8,860,16906,66135,3414,5.16,9447,8266
19061,2010,11,181,3103,14,1342,21337,93653,18161,19.39,8513,6689
19097,2010,4,47,760,4,124,1823,19848,4068,20.5,4962,4962
19125,2010,6,62,888,6,357,5903,33309,4678,14.04,5551,5551
19127,2010,6,75,1534,8,427,7637,40648,9547,23.49,6774,5081
19141,2010,4,47,872,7,222,3039,14398,3105,21.57,3599,2056
19153,2010,28,231,4166,64,5505,102413,430640,87818,20.39,15380,6728
19155,2010,9,89,1205,12,917,17214,93158,35079,37.66,10350,7763
19187,2010,4,54,664,5,384,7045,38013,8414,22.14,9503,7602
19189,2010,4,60,881,3,150,1835,10866,1920,17.67,2716,3622
19197,2010,4,37,537,5,177,2161,13229,887,6.71,3307,2645
20005,2010,3,25,469,3,107,1169,16924,3503,20.7,5641,5641
20021,2010,6,39,607,4,85,1065,21603,3501,16.21,3600,5400
20057,2010,5,43,838,5,151,2227,33848,10833,32.01,6769,6769
20091,2010,24,225,3232,63,5401,113607,544179,119671,21.99,22674,8637
20121,2010,6,70,1165,3,207,3567,32787,3482,10.62,5464,10929
20131,2010,5,51,868,7,221,2275,10178,1537,15.11,2035,1454
20155,2010,8,80,1980,13,472,8128,64511,17367,26.92,8063,4962
20159,2010,4,50,885,5,84,1178,10083,1886,18.71,2520,2016
20177,2010,15,126,2155,28,1452,24564,177934,47825,26.88,11862,6354
20209,2010,19,143,2616,22,736,15991,157505,48750,30.95,8289,7159
21003,2010,5,50,810,4,82,1272,19956,246,1.23,3991,4989
21009,2010,16,128,1677,10,207,2719,42173,3266,7.74,2635,4217
21013,2010,10,69,1282,10,334,5910,28691,5967,20.8,2869,2869
21017,2010,3,22,319,4,116,1579,19985,1505,7.53,6661,4996
21019,2010,9,80,1354,9,386,7484,49542,13022,26.28,5504,5504
21021,2010,11,103,1674,7,198,4094,28432,6698,23.56,2584,4061
21037,2010,11,88,1592,17,955,20631,90336,27900,30.88,8212,5313
21045,2010,3,37,697,8,84,1185,15955,968,6.07,5318,1994
21067,2010,26,188,3248,51,2317,52404,295803,45675,15.44,11377,5800
21085,2010,8,48,778,6,60,833,25746,5883,22.85,3218,4291
21095,2010,11,60,1089,9,309,5405,29278,5086,17.37,2661,3253
21111,2010,80,719,13351,137,5903,132203,741096,131566,17.75,9263,5409
21117,2010,14,125,1899,25,1221,24490,159720,52175,32.67,11408,6388
21123,2010,5,43,840,4,70,1014,14193,211,1.49,2838,3548
21125,2010,16,104,2022,13,339,7770,58849,6537,11.11,3678,4526
21127,2010,5,30,435,3,125,1746,15860,1775,11.19,3172,5286
21133,2010,7,41,623,7,222,3410,24519,0,0.0,3502,3502
21155,2010,4,24,397,3,146,2584,19820,468,2.36,4955,6606
21161,2010,5,41,732,6,174,4128,17490,2176,12.44,3498,2915
21173,2010,6,50,857,5,161,3834,26499,5751,21.7,4416,5299
21199,2010,18,168,2983,20,370,7799,63063,8831,14.0,3503,3153
21205,2010,6,43,837,7,251,5315,23333,1624,6.96,3888,3333
21207,2010,6,50,591,4,151,2909,17565,428,2.43,2927,4391
22001,2010,16,102,1619,23,489,7945,61773,1051,1.7,3860,2685
22003,2010,12,87,1320,4,132,1616,25764,9454,36.7,2147,6441
22005,2010,15,134,2126,20,722,12892,107215,42579,39.71,7147,5360
22009,2010,21,120,1968,12,205,3309,42073,8825,20.98,2003,3506
22017,2010,39,316,5991,30,1620,32323,254969,84385,33.1,6537,8498
22019,2010,46,311,5356,31,1270,22417,192768,42273,21.93,4190,6218
22021,2010,3,22,433,7,368,5667,10132,1135,11.2,3377,1447
22033,2010,60,485,8658,128,3885,65118,440171,124309,28.24,7336,3438
22039,2010,9,52,878,16,184,2388,33984,5506,16.2,3776,2124
22041,2010,5,35,520,5,171,2803,20767,2200,10.59,4153,4153
22045,2010,17,128,2071,20,557,11564,73240,11815,16.13,4308,3662
22047,2010,7,49,948,12,209,3547,33387,5139,15.39,4769,2782
22051,2010,52,537,9876,99,3826,76856,432552,52281,12.09,8318,4369
22053,2010,7,42,753,9,154,2796,31594,2291,7.25,4513,3510
22055,2010,39,274,4857,57,2066,35484,221578,57407,25.91,5681,3887
22063,2010,18,135,2459,17,629,11095,128026,24585,19.2,7112,7530
22067,2010,6,44,803,5,161,3605,27979,6896,24.65,4663,5595
22069,2010,6,45,758,8,220,4079,39566,10794,27.28,6594,4945
22071,2010,31,301,5444,139,2082,41819,343829,87617,25.48,11091,2473
22073,2010,30,266,4095,23,951,17715,153720,63892,41.56,5124,6683
22085,2010,6,45,812,7,244,5155,24233,6385,26.35,4038,3461
22087,2010,12,123,2266,10,287,5148,35897,15392,42.88,2991,3589
22089,2010,8,68,1003,8,304,5225,52780,29520,55.93,6597,6597
22093,2010,5,41,624,6,217,3934,22102,4399,19.9,4420,3683
22095,2010,9,87,1409,11,257,4516,45924,20009,43.57,5102,4174
22097,2010,26,165,2794,29,693,12485,83384,11479,13.77,3207,2875
22099,2010,9,69,1029,16,374,7757,52160,3989,7.65,5795,3260
22101,2010,12,78,1333,15,450,7988,54650,13658,24.99,4554,3643
