GeoID,County,State,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2010,D_Cap,G_Cap,FD_num_2010,FD_pct_2010
1003,Baldwin County,Alabama,2010,37,271,5046,25,1190,25820,182265,4926,7290,35211,19.32
1015,Calhoun County,Alabama,2010,30,207,3464,24,734,12338,118572,3952,4940,30901,26.06
1017,Chambers County,Alabama,2010,9,66,983,8,200,3634,34215,3801,4276,6748,19.72
1019,Cherokee County,Alabama,2010,9,43,755,4,114,1612,25989,2887,6497,79,0.31
1025,Clarke County,Alabama,2010,15,158,2467,7,252,4142,25833,1722,3690,5061,19.59
1039,Covington County,Alabama,2010,13,83,1428,9,284,5022,37765,2905,4196,3334,8.83
1045,Dale County,Alabama,2010,10,55,963,7,152,2544,50251,5025,7178,13847,27.56
1047,Dallas County,Alabama,2010,12,107,1383,11,250,4935,43820,3651,3983,7786,17.77
1051,Elmore County,Alabama,2010,14,105,1509,8,363,6083,79303,5664,9912,15012,18.93
1053,Escambia County,Alabama,2010,14,154,2261,6,255,4310,38319,2737,6386,5189,13.54
1055,Etowah County,Alabama,2010,25,205,3489,19,522,9510,104430,4177,5496,24779,23.73
1057,Fayette County,Alabama,2010,6,39,654,7,100,1538,17241,2873,2463,438,2.54
1063,Greene County,Alabama,2010,4,38,479,3,55,874,9045,2261,3015,3287,36.34
1071,Jackson County,Alabama,2010,12,79,1229,13,249,3856,53227,4435,4094,4855,9.12
1073,Jefferson County,Alabama,2010,98,965,14728,105,4835,93295,658466,6719,6271,209261,31.78
1089,Madison County,Alabama,2010,54,427,7659,35,2126,44675,334811,6200,9566,110052,32.87
1091,Marengo County,Alabama,2010,7,43,906,4,109,2240,21027,3003,5256,5587,26.57
1093,Marion County,Alabama,2010,10,42,767,4,85,1280,30776,3077,7694,538,1.75
1093,Wakulla County,Florida,2010,10,42,767,4,85,1280,30776,3077,7694,538,1.75
1095,Marshall County,Alabama,2010,22,170,2593,20,580,8163,93019,4228,4650,12814,13.78
1097,Mobile County,Alabama,2010,97,849,13932,58,2410,44913,412992,4257,7120,112774,27.31
1099,Monroe County,Alabama,2010,10,59,1181,6,159,2200,23068,2306,3844,7149,30.99
1101,Montgomery County,Alabama,2010,36,369,5621,33,1441,28812,229363,6371,6950,64260,28.02
1103,Morgan County,Alabama,2010,27,202,3090,20,634,12716,119490,4425,5974,14010,11.72
1107,Pickens County,Alabama,2010,10,85,1259,4,142,1960,19746,1974,4936,851,4.31
1109,Pike County,Alabama,2010,5,41,709,8,255,4358,32899,6579,4112,3733,11.35
1111,Randolph County,Alabama,2010,6,43,644,4,113,1943,22913,3818,5728,1061,4.63
1113,Russell County,Alabama,2010,15,139,2121,8,369,6074,52947,3529,6618,8512,16.08
1117,Shelby County,Alabama,2010,24,204,3864,26,1403,29517,195085,8128,7503,52014,26.66
1121,Talladega County,Alabama,2010,24,181,2626,10,341,6425,82291,3428,8229,12352,15.01
1123,Tallapoosa County,Alabama,2010,12,104,1460,6,239,4707,41616,3468,6936,4598,11.05
1125,Tuscaloosa County,Alabama,2010,33,300,4733,27,1342,26500,194656,5898,7209,39478,20.28
1131,Wilcox County,Alabama,2010,6,31,529,10,80,1273,11670,1945,1167,5173,44.33
2050,Bethel Census Area,Alaska,2010,15,356,4333,24,413,6419,17013,1134,708,13273,78.01
2110,Juneau City and Borough,Alaska,2010,3,38,961,7,376,8867,31275,10425,4467,10138,32.42
2122,Kenai Peninsula Borough,Alaska,2010,5,51,1160,20,644,17851,55400,11080,2770,11290,20.38
4001,Apache County,Arizona,2010,12,75,1509,11,332,6217,71518,5959,6501,46747,65.36
4003,Cochise County,Arizona,2010,28,192,3202,15,996,19343,131346,4690,8756,51625,39.3
4005,Coconino County,Arizona,2010,14,111,2078,17,1332,24732,134421,9601,7907,40657,30.25
4009,Graham County,Arizona,2010,3,25,359,8,341,5892,37220,12406,4652,11663,31.33
4013,Maricopa County,Arizona,2010,219,2349,39616,494,37913,670315,3817117,17429,7726,492281,12.9
4017,Navajo County,Arizona,2010,20,149,2376,16,731,15449,107449,5372,6715,35575,33.11
4019,Pima County,Arizona,2010,80,694,12041,120,9243,172176,980263,12253,8168,232208,23.69
4021,Pinal County,Arizona,2010,25,216,3589,31,2309,36046,375770,15030,12121,65190,17.35
4023,Santa Cruz County,Arizona,2010,15,63,1124,8,269,6110,47420,3161,5927,13052,27.52
4027,Yuma County,Arizona,2010,21,185,2898,35,1329,23356,195751,9321,5592,43753,22.35
5003,Ashley County,Arkansas,2010,9,87,1115,6,109,1943,21853,2428,3642,4342,19.87
5005,Baxter County,Arkansas,2010,6,42,683,8,272,4220,41513,6918,5189,4980,12.0
5007,Benton County,Arkansas,2010,28,212,3521,28,942,19088,221339,7904,7904,43591,19.69
5009,Boone County,Arkansas,2010,9,95,1362,4,183,3229,36903,4100,9225,11075,30.01
5009,Miami County,Indiana,2010,9,95,1362,4,183,3229,36903,4100,9225,11075,30.01
5031,Craighead County,Arkansas,2010,21,147,2499,19,492,8794,96443,4592,5075,24130,25.02
5033,Crawford County,Arkansas,2010,12,107,1649,9,184,3168,61948,5162,6883,13071,21.1
5035,Crittenden County,Arkansas,2010,12,98,1373,10,362,5713,50902,4241,5090,6121,12.03
5051,Garland County,Arkansas,2010,18,147,2308,14,463,9832,96024,5334,6858,30262,31.52
5063,Independence County,Arkansas,2010,10,70,1036,6,119,2717,36647,3664,6107,6847,18.68
5065,Izard County,Arkansas,2010,7,49,584,4,106,1460,13696,1956,3424,810,5.92
5069,Jefferson County,Arkansas,2010,18,179,2914,15,477,8948,77435,4301,5162,13186,17.03
5091,Miller County,Arkansas,2010,10,62,1035,9,278,4530,43462,4346,4829,10974,25.25
5093,Mississippi County,Arkansas,2010,12,111,1708,15,351,6219,46480,3873,3098,6002,12.91
5119,Pulaski County,Arkansas,2010,51,497,7886,60,2614,57930,382748,7504,6379,116978,30.56
5123,St. Francis County,Arkansas,2010,7,57,731,7,109,1709,28258,4036,4036,8547,30.24
5139,Union County,Arkansas,2010,11,89,1190,9,223,4049,41639,3785,4626,9035,21.7
5143,Washington County,Arkansas,2010,28,176,3130,28,1513,26506,203065,7252,7252,40441,19.92
6001,Alameda County,California,2010,53,798,12612,371,11780,337487,1510271,28495,4070,160425,10.62
6007,Butte County,California,2010,14,205,3287,50,1708,48401,220000,15714,4400,48749,22.16
6013,Contra Costa County,California,2010,41,575,9952,204,8745,249529,1049025,25585,5142,206022,19.64
6015,Del Norte County,California,2010,3,11,233,9,258,5110,28610,9536,3178,7755,27.11
6017,El Dorado County,California,2010,7,105,2052,33,1707,48814,181058,25865,5486,50566,27.93
6019,Fresno County,California,2010,52,682,9773,216,5172,140848,930450,17893,4307,113632,12.21
6023,Humboldt County,California,2010,18,122,2152,42,1480,36153,134623,7479,3205,21978,16.33
6029,Kern County,California,2010,53,600,9292,193,5265,123214,839631,15842,4350,128065,15.25
6031,Kings County,California,2010,8,96,1197,33,688,16363,152982,19122,4635,32733,21.4
6037,Los Angeles County,California,2010,583,7272,142094,2024,70433,1821874,9818605,16841,4851,613459,6.25
6039,Madera County,California,2010,7,95,1124,34,1015,28445,150865,21552,4437,29906,19.82
6041,Marin County,California,2010,13,106,2323,60,3181,101018,252409,19416,4206,41396,16.4
6045,Mendocino County,California,2010,11,79,1365,49,1312,35964,87841,7985,1792,15812,18.0
6047,Merced County,California,2010,12,160,2397,55,1246,36166,255793,21316,4650,36594,14.31
6053,Monterey County,California,2010,24,231,3899,107,3026,87980,415057,17294,3879,49442,11.91
6057,Nevada County,California,2010,5,37,704,27,1137,32522,98764,19752,3657,23640,23.94
6059,Orange County,California,2010,134,1717,31782,535,23489,615868,3010232,22464,5626,220587,7.33
6061,Placer County,California,2010,14,218,4362,58,3206,96959,348432,24888,6007,53006,15.21
6065,Riverside County,California,2010,89,1317,21801,342,14331,373082,2189641,24602,6402,433981,19.82
6067,Sacramento County,California,2010,55,1043,16981,249,10011,290775,1418788,25796,5697,190246,13.41
6071,San Bernardino County,California,2010,104,1529,29863,335,12996,330746,2035210,19569,6075,454074,22.31
6073,San Diego County,California,2010,126,1950,34160,622,22924,584033,3095313,24565,4976,456714,14.76
6075,San Francisco County,California,2010,33,274,6216,327,6930,196435,805235,24401,2462,26692,3.31
6077,San Joaquin County,California,2010,21,500,7660,160,4225,126732,685306,32633,4283,77979,11.38
6081,San Mateo County,California,2010,22,452,10241,162,6595,190033,718451,32656,4434,82647,11.5
6083,Santa Barbara County,California,2010,19,253,3903,123,3691,96523,423895,22310,3446,58464,13.79
6085,Santa Clara County,California,2010,62,720,12895,343,14135,392430,1781642,28736,5194,170081,9.55
6087,Santa Cruz County,California,2010,10,127,2294,73,2880,75478,262382,26238,3594,42380,16.15
6089,Shasta County,California,2010,13,161,2578,36,1430,39276,177223,13632,4922,40860,23.06
6095,Solano County,California,2010,15,291,4417,73,2722,76007,413344,27556,5662,92520,22.38
6097,Sonoma County,California,2010,25,272,5011,129,5224,148446,483878,19355,3750,79444,16.42
6099,Stanislaus County,California,2010,25,434,6373,135,3793,102444,514453,20578,3810,68988,13.41
6107,Tulare County,California,2010,29,352,4918,110,2207,55193,442179,15247,4019,63227,14.3
6111,Ventura County,California,2010,59,748,13946,163,6170,164031,823318,13954,5051,127283,15.46
6113,Yolo County,California,2010,7,114,1962,44,1556,40703,200849,28692,4564,18875,9.4
8005,Arapahoe County,Colorado,2010,31,379,6538,75,4289,125878,572003,18451,7626,97261,17.0
8013,Boulder County,Colorado,2010,12,123,2219,52,2870,80729,294567,24547,5664,45863,15.57
8035,Douglas County,Colorado,2010,4,34,763,23,2089,57781,285465,71366,12411,52932,18.54
8037,Eagle County,Colorado,2010,6,30,569,14,529,18365,52197,8699,3728,7969,15.27
8043,Fremont County,Colorado,2010,7,43,665,6,170,5112,46824,6689,7804,14902,31.83
8069,Larimer County,Colorado,2010,8,79,1254,30,2084,56966,299630,37453,9987,67259,22.45
8087,Morgan County,Colorado,2010,5,27,477,5,151,3206,28159,5631,5631,3336,11.85
8099,Prowers County,Colorado,2010,4,79,3028,4,84,1849,12551,3137,3137,3793,30.22
8123,Weld County,Colorado,2010,17,116,2281,32,1163,30658,252825,14872,7900,38751,15.33
9001,Fairfield County,Connecticut,2010,41,223,4123,205,9384,261112,916829,22361,4472,262579,28.64
9003,Hartford County,Connecticut,2010,75,740,13969,211,9714,227932,894014,11920,4237,281196,31.45
9005,Litchfield County,Connecticut,2010,9,64,1376,43,2231,52015,189927,21103,4416,30056,15.83
9007,Middlesex County,Connecticut,2010,10,112,2412,38,1568,41622,165676,16567,4359,55378,33.43
9009,New Haven County,Connecticut,2010,67,581,11760,187,8180,190181,862477,12872,4612,252394,29.26
9011,New London County,Connecticut,2010,23,255,5339,46,2540,58935,274055,11915,5957,78554,28.66
9013,Tolland County,Connecticut,2010,5,31,716,24,1499,31720,152691,30538,6362,50030,32.77
10001,Kent County,Delaware,2010,21,217,3362,17,873,17765,162310,7729,9547,31140,19.19
10003,New Castle County,Delaware,2010,42,388,6200,84,4088,102356,538479,12820,6410,164990,30.64
10005,Sussex County,Delaware,2010,42,348,5512,49,1610,37448,197145,4693,4023,34073,17.28
11001,District of Columbia,District of Columbia,2010,24,140,2959,174,4432,123025,601723,25071,3458,16971,2.82
11001,District of Columbia,District of Columbia,2010,24,140,2959,174,4432,123025,601723,25071,3458,16971,2.82
12001,Alachua County,Florida,2010,24,200,3680,46,3065,56618,247336,10305,5376,49066,19.84
12003,Baker County,Florida,2010,4,32,513,7,164,2954,27115,6778,3873,9154,33.76
12011,Broward County,Florida,2010,136,962,16979,368,16609,361122,1748066,12853,4750,196467,11.24
12019,Clay County,Florida,2010,21,161,2470,27,1506,29223,190865,9088,7069,44093,23.1
12021,Collier County,Florida,2010,17,145,2686,59,3241,80238,321520,18912,5449,90021,28.0
12027,DeSoto County,Florida,2010,3,25,367,5,164,3187,34862,11620,6972,3913,11.22
12031,Duval County,Florida,2010,106,961,15816,200,7247,149231,864263,8153,4321,215253,24.91
12033,Escambia County,Florida,2010,44,333,5737,49,1612,33126,297619,6764,6073,118775,39.91
12055,Highlands County,Florida,2010,13,111,1617,19,729,14159,98786,7598,5199,36950,37.4
12057,Hillsborough County,Florida,2010,105,892,15263,283,10553,211055,1229226,11706,4343,309584,25.19
12063,Jackson County,Florida,2010,16,104,1691,7,219,3973,49746,3109,7106,3390,6.81
12071,Lee County,Florida,2010,50,406,7758,116,5872,131703,618754,12375,5334,173208,27.99
12075,Levy County,Florida,2010,10,60,1050,10,311,5127,40801,4080,4080,3954,9.69
12079,Madison County,Florida,2010,6,43,552,3,138,2761,19224,3204,6408,4279,22.26
12081,Manatee County,Florida,2010,35,259,4413,58,2924,60217,322833,9223,5566,74392,23.04
12086,Miami-Dade County,Florida,2010,289,1303,24345,605,20952,432236,2496435,8638,4126,162697,6.52
12095,Orange County,Florida,2010,102,815,14661,236,8992,189551,1145956,11234,4855,224405,19.58
12101,Pasco County,Florida,2010,49,394,6039,71,3873,75251,464697,9483,6545,103438,22.26
12103,Pinellas County,Florida,2010,93,734,12152,189,9508,191130,916542,9855,4849,160837,17.55
12107,Putnam County,Florida,2010,15,103,1828,12,493,9101,74364,4957,6197,18371,24.7
12115,Sarasota County,Florida,2010,26,225,3613,72,3936,84424,379448,14594,5270,105119,27.7
12119,Sumter County,Florida,2010,9,55,845,16,605,12149,93420,10380,5838,9896,10.59
12121,Suwannee County,Florida,2010,6,52,794,8,206,4119,41551,6925,5193,7180,17.28
13009,Baldwin County,Georgia,2010,10,78,1287,10,286,5159,45720,4572,4572,8230,18.0
13017,Ben Hill County,Georgia,2010,3,27,404,4,103,1563,17634,5878,4408,3939,22.34
13021,Bibb County,Georgia,2010,30,310,4823,42,1319,28246,155547,5184,3703,35466,22.8
13031,Bulloch County,Georgia,2010,11,93,1454,7,267,4280,70217,6383,10031,10800,15.38
13033,Burke County,Georgia,2010,4,29,409,3,112,1717,23316,5829,7772,2235,9.59
13039,Camden County,Georgia,2010,7,41,701,6,271,4959,50513,7216,8418,18301,36.23
13045,Carroll County,Georgia,2010,24,185,3023,24,922,17126,110527,4605,4605,27518,24.9
13051,Chatham County,Georgia,2010,29,288,4644,49,2002,40709,265128,9142,5410,52409,19.77
13059,Clarke County,Georgia,2010,13,109,1902,19,895,19198,116714,8978,6142,42684,36.57
13063,Clayton County,Georgia,2010,34,276,4335,47,1355,28496,259424,7630,5519,102802,39.63
13071,Colquitt County,Georgia,2010,12,99,1335,12,188,3664,45498,3791,3791,8478,18.63
13085,Dawson County,Georgia,2010,4,28,410,4,260,5391,22330,5582,5582,0,0.0
13089,DeKalb County,Georgia,2010,70,616,9872,145,5980,123892,691893,9884,4771,181655,26.25
13091,Dodge County,Georgia,2010,5,33,552,9,122,1951,21796,4359,2421,440,2.02
13095,Dougherty County,Georgia,2010,21,223,3324,24,844,14453,94565,4503,3940,39406,41.67
13099,Early County,Georgia,2010,6,34,591,5,106,1625,11008,1834,2201,1070,9.72
13103,Effingham County,Georgia,2010,8,58,943,5,215,3662,52250,6531,10450,6349,12.15
13107,Emanuel County,Georgia,2010,7,47,715,6,92,1338,22598,3228,3766,6645,29.41
13111,Fannin County,Georgia,2010,8,65,1017,10,272,4786,23682,2960,2368,28,0.12
13113,Fayette County,Georgia,2010,6,62,1042,14,1123,24847,106567,17761,7611,42925,40.28
13119,Franklin County,Georgia,2010,9,59,881,7,174,2876,22084,2453,3154,715,3.24
13127,Glynn County,Georgia,2010,15,132,1940,21,693,14478,79626,5308,3791,21864,27.46
13131,Grady County,Georgia,2010,7,42,718,3,116,2096,25011,3573,8337,2634,10.53
13135,Gwinnett County,Georgia,2010,58,438,7042,151,6135,141631,805321,13884,5333,260733,32.38
13137,Habersham County,Georgia,2010,13,95,1642,7,358,6208,43041,3310,6148,9084,21.11
13139,Hall County,Georgia,2010,19,147,2487,36,1352,29578,179684,9457,4991,51370,28.59
13143,Haralson County,Georgia,2010,6,27,398,6,91,1437,28780,4796,4796,1099,3.82
13147,Hart County,Georgia,2010,4,28,392,5,177,2910,25213,6303,5042,832,3.3
13147,Wasco County,Oregon,2010,4,28,392,5,177,2910,25213,6303,5042,832,3.3
13151,Henry County,Georgia,2010,23,192,2921,28,1439,30620,203922,8866,7282,70656,34.65
13153,Houston County,Georgia,2010,20,145,2401,23,1014,20397,139900,6995,6082,50674,36.22
13157,Jackson County,Georgia,2010,10,60,932,8,487,10409,60485,6048,7560,584,0.97
13163,Jefferson County,Georgia,2010,10,62,873,7,213,3426,16930,1693,2418,336,1.99
13175,Laurens County,Georgia,2010,15,116,1866,11,418,7215,48434,3228,4403,4791,9.89
13179,Liberty County,Georgia,2010,10,91,1496,8,211,3569,63453,6345,7931,24802,39.09
13185,Lowndes County,Georgia,2010,21,186,3095,13,623,12246,109233,5201,8402,22947,21.01
13199,Meriwether County,Georgia,2010,8,58,886,7,184,3019,21992,2749,3141,321,1.46
13215,Muscogee County,Georgia,2010,31,330,5954,39,1376,29886,189885,6125,4868,62464,32.9
13217,Newton County,Georgia,2010,14,118,1889,18,740,14918,99958,7139,5553,25557,25.57
13227,Pickens County,Georgia,2010,6,34,571,6,297,5748,29431,4905,4905,1813,6.16
13233,Polk County,Georgia,2010,8,67,1060,7,227,5075,41475,5184,5925,4735,11.42
13245,Richmond County,Georgia,2010,38,366,5167,35,1210,22144,200549,5277,5729,67308,33.56
13247,Rockdale County,Georgia,2010,10,83,1516,21,816,17452,85215,8521,4057,39854,46.77
13251,Screven County,Georgia,2010,4,39,470,3,119,1643,14593,3648,4864,3131,21.45
13253,Seminole County,Georgia,2010,3,27,424,4,85,1252,8729,2909,2182,641,7.34
13253,Benton County,Mississippi,2010,3,27,424,4,85,1252,8729,2909,2182,641,7.34
13255,Spalding County,Georgia,2010,10,132,1817,12,479,8677,64073,6407,5339,10916,17.04
13261,Sumter County,Georgia,2010,10,76,1024,8,214,3569,32819,3281,4102,7427,22.63
13273,Terrell County,Georgia,2010,3,26,377,4,86,1347,9315,3105,2328,116,1.25
13273,Crittenden County,Kentucky,2010,3,26,377,4,86,1347,9315,3105,2328,116,1.25
13275,Thomas County,Georgia,2010,13,130,1811,7,296,5725,44720,3440,6388,12043,26.93
13277,Tift County,Georgia,2010,12,91,1344,7,185,3453,40118,3343,5731,3927,9.79
13279,Toombs County,Georgia,2010,8,67,1009,6,180,2505,27223,3402,4537,4540,16.68
13293,Upson County,Georgia,2010,4,34,476,9,175,2552,27153,6788,3017,4930,18.15
13297,Walton County,Georgia,2010,10,73,1157,8,498,9687,83768,8376,10471,15470,18.47
13303,Washington County,Georgia,2010,3,25,345,3,104,1525,21187,7062,7062,5635,26.6
15001,Hawaii County,Hawaii,2010,10,97,1273,38,1897,46883,185079,18507,4870,68849,37.2
15009,Maui County,Hawaii,2010,8,42,908,40,1746,44144,154834,19354,3870,55755,36.01
16005,Bannock County,Idaho,2010,8,54,1034,9,378,8069,82839,10354,9204,25194,30.41
16017,Bonner County,Idaho,2010,5,39,663,13,281,6123,40877,8175,3144,7651,18.72
16027,Canyon County,Idaho,2010,16,204,3266,21,714,16409,188923,11807,8996,39744,21.04
16055,Kootenai County,Idaho,2010,7,70,1019,18,882,19929,138494,19784,7694,34524,24.93
16069,Nez Perce County,Idaho,2010,3,68,1223,10,373,9029,39265,13088,3926,6993,17.81
16083,Twin Falls County,Idaho,2010,9,153,2026,17,545,11543,77230,8581,4542,7226,9.36
17019,Champaign County,Illinois,2010,13,196,3290,32,1346,22546,201081,15467,6283,29430,14.64
17021,Christian County,Illinois,2010,5,42,742,9,226,3429,34800,6960,3866,3502,10.06
17029,Coles County,Illinois,2010,8,78,1106,5,272,3613,53873,6734,10774,7996,14.84
17031,Cook County,Illinois,2010,445,2913,52913,1463,39767,857910,5194675,11673,3550,415200,7.99
17043,DuPage County,Illinois,2010,43,354,6503,174,7778,165860,916924,21323,5269,250485,27.32
17049,Effingham County,Illinois,2010,7,36,649,8,336,5165,34242,4891,4280,5860,17.11
17053,Ford County,Illinois,2010,5,71,1252,3,148,2031,14081,2816,4693,2583,18.35
17073,Henry County,Illinois,2010,8,135,2232,14,242,3709,50486,6310,3606,9452,18.72
17077,Jackson County,Illinois,2010,6,58,846,11,455,9573,60218,10036,5474,14240,23.65
17089,Kane County,Illinois,2010,28,402,6475,79,3463,69011,515269,18402,6522,101403,19.68
17097,Lake County,Illinois,2010,43,297,5347,124,5204,109666,703462,16359,5673,254430,36.17
17099,LaSalle County,Illinois,2010,15,254,4300,25,1009,17283,113924,7594,4556,26677,23.42
17103,Lee County,Illinois,2010,5,35,485,6,139,2089,36031,7206,6005,3793,10.53
17107,Logan County,Illinois,2010,7,53,1009,4,142,2781,30305,4329,7576,9652,31.85
17109,McDonough County,Illinois,2010,5,112,1467,5,339,5859,32612,6522,6522,9394,28.81
17111,McHenry County,Illinois,2010,19,264,4364,50,1961,37395,308760,16250,6175,133011,43.08
17113,McLean County,Illinois,2010,14,179,3302,28,1055,20207,169572,12112,6056,46403,27.36
17115,Macon County,Illinois,2010,16,188,3359,14,490,10827,110768,6923,7912,33167,29.94
17119,Madison County,Illinois,2010,30,287,5281,50,2035,42417,269282,8976,5385,85509,31.75
17121,Marion County,Illinois,2010,7,70,1356,6,153,2408,39437,5633,6572,10003,25.36
17137,Morgan County,Illinois,2010,5,76,1026,5,168,2637,35547,7109,7109,8930,25.12
17143,Peoria County,Illinois,2010,21,225,4453,47,1214,28845,186494,8880,3967,55265,29.63
17145,Perry County,Illinois,2010,4,21,316,4,119,2497,22350,5587,5587,4609,20.62
17163,St. Clair County,Illinois,2010,30,252,4232,43,1553,34862,270056,9001,6280,112883,41.8
17173,Shelby County,Illinois,2010,4,11,248,4,104,1301,22363,5590,5590,3527,15.77
17183,Vermilion County,Illinois,2010,17,296,5097,14,546,8633,81625,4801,5830,14337,17.56
17189,Washington County,Illinois,2010,5,53,1119,8,88,1329,14716,2943,1839,1629,11.07
17197,Will County,Illinois,2010,35,281,4915,93,4260,83837,677560,19358,7285,242455,35.78
17201,Winnebago County,Illinois,2010,37,433,7629,54,2043,49656,295266,7980,5467,72887,24.69
18001,Adams County,Indiana,2010,6,34,566,6,169,2991,34387,5731,5731,2455,7.14
18017,Cass County,Indiana,2010,7,64,884,8,238,3929,38966,5566,4870,1592,4.09
18019,Clark County,Indiana,2010,19,151,2541,20,632,11985,110232,5801,5511,23781,21.57
18023,Clinton County,Indiana,2010,5,40,622,7,128,1844,33224,6644,4746,1331,4.01
18029,Dearborn County,Indiana,2010,6,50,739,6,238,5000,50047,8341,8341,13205,26.39
18033,DeKalb County,Indiana,2010,8,30,599,8,224,4751,42223,5277,5277,11734,27.79
18039,Elkhart County,Indiana,2010,23,189,2843,37,1359,26008,197559,8589,5339,38971,19.73
18045,Fountain County,Indiana,2010,6,49,812,4,225,2811,17240,2873,4310,643,3.73
18047,Franklin County,Indiana,2010,4,45,631,10,169,2141,23087,5771,2308,2095,9.07
18051,Gibson County,Indiana,2010,7,55,733,6,215,2914,33503,4786,5583,3461,10.33
18053,Grant County,Indiana,2010,11,91,1459,7,305,4735,70061,6369,10008,14392,20.54
18057,Hamilton County,Indiana,2010,12,91,1749,36,2024,39206,274569,22880,7626,95377,34.74
18063,Hendricks County,Indiana,2010,12,100,1695,11,593,12615,145448,12120,13222,53660,36.89
18065,Henry County,Indiana,2010,6,56,697,9,202,3938,49462,8243,5495,2249,4.55
18067,Howard County,Indiana,2010,15,116,1717,11,444,9069,82752,5516,7522,25625,30.97
18077,Jefferson County,Indiana,2010,6,59,910,7,160,3241,32428,5404,4632,4773,14.72
18081,Johnson County,Indiana,2010,14,91,1388,10,581,11073,139654,9975,13965,42603,30.51
18085,Kosciusko County,Indiana,2010,14,103,1617,12,404,7673,77358,5525,6446,17486,22.6
18087,LaGrange County,Indiana,2010,6,59,1204,7,155,2910,37128,6188,5304,522,1.41
18089,Lake County,Indiana,2010,58,500,7859,80,3706,74117,496005,8551,6200,138588,27.94
18091,LaPorte County,Indiana,2010,15,105,1550,18,657,11441,111467,7431,6192,20849,18.7
18095,Madison County,Indiana,2010,17,154,2521,24,875,15866,131636,7743,5484,32821,24.93
18097,Marion County,Indiana,2010,112,923,15627,146,5255,112461,903393,8066,6187,226700,25.09
